Team,Coach,Week,Slot,Bench,Position,Player,Franchise,Stats,Fantasy Points,Opponent,Opponent Coach,Year,Game No.,Original Order,Gamecode,Playercode,Against Playercode,Postioncode,,,Team Name,Coach,,,,Coaches,,Position,,Seasons
GRONK GRONK GRONK GRONK,Niall,1,BN2,BN,WR,L. Fitzgerald,ARI,74 Rec Yds,7.4,Glorious Demon God Fist,Chris,2017,2,41,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Big Milky Tudders,Scan,,,,,,,,
GRONK GRONK GRONK GRONK,Niall,1,BN3,BN,QB,R. Wilson,SEA,"158 Pass Yds,40 Rush Yds,1 Fum",8.32,Glorious Demon God Fist,Chris,2017,2,42,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,No Coopers No Hope,Stephen,,,,,,,,
GRONK GRONK GRONK GRONK,Niall,1,BN4,BN,RB,A. Abdullah,DET,"30 Rush Yds,11 Rec Yds",4.1,Glorious Demon God Fist,Chris,2017,2,43,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,I Dream of a Helen Durkan Team,Beano,,,,,,,,
GRONK GRONK GRONK GRONK,Niall,1,BN5,BN,WR,T. Williams,LAC,54 Rec Yds,5.4,Glorious Demon God Fist,Chris,2017,2,44,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Bailey's Ballers,Dee,,,,,,,,
GRONK GRONK GRONK GRONK,Niall,1,BN6,BN,DEF,Giants,DEF,"19 Pts,1 Sck",2,Glorious Demon God Fist,Chris,2017,2,45,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,GRONK GRONK GRONK,Niall,,,,,,,,
Glorious Demon God Fist,Chris,1,QB,,QB,M. Mariota,TEN,"256 Pass Yds,26 Rush Yds,1 Rush TD",18.84,GRONK GRONK GRONK GRONK,Niall,2017,2,46,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Breece's Pieces,Ciaran,,,,,,,,
Glorious Demon God Fist,Chris,1,RB1,,RB,J. Hill,CIN,"26 Rush Yds,-2 Rec Yds",2.4,GRONK GRONK GRONK GRONK,Niall,2017,2,47,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Third Time Lucky,Catherine,,,,,,,,
Glorious Demon God Fist,Chris,1,RB2,,RB,E. Elliott,DAL,"104 Rush Yds,36 Rec Yds",14,GRONK GRONK GRONK GRONK,Niall,2017,2,48,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,The Jobber Parade,Niall,,,,,,,,
Glorious Demon God Fist,Chris,1,WR1,,WR,D. Bryant,DAL,43 Rec Yds,4.3,GRONK GRONK GRONK GRONK,Niall,2017,2,49,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,The Missouri Miracle Men,Chris,,,,,,,,
Glorious Demon God Fist,Chris,1,WR2,,WR,T. Pryor,WAS,66 Rec Yds,6.6,GRONK GRONK GRONK GRONK,Niall,2017,2,50,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,Million Dolla Bailey,Dee,,,,,,,,
